?? ?????,?? ????,?? ????? ?????,??? ??? ??? ?????? ????? ? ????? ???? ?? ??? ????,????? ??????
-0.7,-0.3,G4_000_P04                                     G4_000_P05                                    G4_000_P06 ,Total_InduratingFeed<750,???? ?????? ?? ???? 
35.0,44.0,G3_00902_P01,Total_InduratingFeed<750,???? ?????? ?? ???? 
-5.0,-2.0,G4_000_P01,Total_InduratingFeed<750,???? ?????? ?? ???? 
550.0,660.0,G3_00917_T01,Total_InduratingFeed<750,???? ?????? ?? ???? 
150.0,185.0,G5_039_T01,Total_InduratingFeed<750,???? ?????? ?? ???? 
115.0,140.0,G5_038_T01,Total_InduratingFeed<750,???? ?????? ?? ???? 
850.0,960.0,G4_01112_13_TIC_PV,Total_InduratingFeed<750,???? ?????? ?? ???? 
890.0,970.0,G4_01114_15_TIC_PV,Total_InduratingFeed<750,???? ?????? ?? ???? 
930.0,1030.0,G4_01105_06_TIC_PV,Total_InduratingFeed<750,???? ?????? ?? ???? 
950.0,1030.0,G4_01107_08_TIC_PV,Total_InduratingFeed<750,???? ?????? ?? ???? 
950.0,1030.0,G4_01109_10_TIC_PV,Total_InduratingFeed<750,???? ?????? ?? ???? 
960.0,1050.0,G4_01111_12_TIC_PV,Total_InduratingFeed<750,???? ?????? ?? ???? 
960.0,1100.0,G4_01113_14_TIC_PV,Total_InduratingFeed<750,???? ?????? ?? ???? 
1000.0,1200.0,G4_01115_16_TIC_PV,Total_InduratingFeed<750,???? ?????? ?? ???? 
1020.0,1220.0,G4_01117_18_TIC_PV,Total_InduratingFeed<750,???? ?????? ?? ???? 
1100.0,1300.0,G4_01119_20_TIC_PV,Total_InduratingFeed<750,???? ?????? ?? ???? 
1200.0,1320.0,G4_01121_22_TIC_PV,Total_InduratingFeed<750,???? ?????? ?? ???? 
1250.0,1330.0,G4_01123_TIC_PV,Total_InduratingFeed<750,???? ?????? ?? ???? 
1250.0,1330.0,G4_01124_TIC_PV,Total_InduratingFeed<750,???? ?????? ?? ???? 
1250.0,1330.0,G4_01125_TIC_PV,Total_InduratingFeed<750,???? ?????? ?? ???? 
1250.0,1330.0,G4_01126_TIC_PV,Total_InduratingFeed<750,???? ?????? ?? ???? 
1250.0,1330.0,G4_01127_TIC_PV,Total_InduratingFeed<750,???? ?????? ?? ???? 
1250.0,1330.0,G4_01128_TIC_PV,Total_InduratingFeed<750,???? ?????? ?? ???? 
1250.0,1330.0,G4_01129_TIC_PV,Total_InduratingFeed<750,???? ?????? ?? ???? 
1250.0,1330.0,G4_01130_TIC_PV,Total_InduratingFeed<750,???? ?????? ?? ???? 
1250.0,1330.0,G4_01131_32_TIC_PV,Total_InduratingFeed<750,???? ?????? ?? ???? 
1250.0,1330.0,G4_01133_34_TIC_PV,Total_InduratingFeed<750,???? ?????? ?? ???? 
90.0,106.0,B1_055_T01,B1_003_F01<300,???? ?????? ?? ????? 
0.0,50.0,B1_021_Z01,B1_003_F01<300,???? ?????? ?? ????? 
-1.8,-1.0,B1_026_P01,B1_003_F01<300,???? ?????? ?? ????? 
90.0,106.0,B2_055_T01,B1_003_F01<300,???? ?????? ?? ????? 
0.0,50.0,B2_021_Z01,B1_003_F01<300,???? ?????? ?? ????? 
-1.8,-1.0,B2_026_P01,B1_003_F01<300,???? ?????? ?? ????? 
